0 Branching ratio for NO2      Total        1 branches
Lambda        Total        NO/O
1829.09   6.86E-18  6.86E-18
1830.09   6.86E-18  6.86E-18
1831.09   6.86E-18  6.86E-18
1832.09   6.86E-18  6.86E-18
1833.09   6.86E-18  6.86E-18
1834.09   6.87E-18  6.87E-18
1835.09   6.87E-18  6.87E-18
1836.09   6.87E-18  6.87E-18
1837.09   6.87E-18  6.87E-18
1838.09   6.87E-18  6.87E-18
1839.09   6.87E-18  6.87E-18
1840.09   6.87E-18  6.87E-18
1841.09   6.87E-18  6.87E-18
1842.09   6.87E-18  6.87E-18
1843.09   6.87E-18  6.87E-18
1844.09   6.88E-18  6.88E-18
1845.09   6.88E-18  6.88E-18
1846.10   6.88E-18  6.88E-18
1847.10   6.88E-18  6.88E-18
1848.10   6.88E-18  6.88E-18
1849.10   6.88E-18  6.88E-18
1850.10   6.88E-18  6.88E-18
1851.10   6.89E-18  6.89E-18
1852.10   6.89E-18  6.89E-18
1853.10   6.89E-18  6.89E-18
1854.10   6.90E-18  6.90E-18
1855.10   6.90E-18  6.90E-18
1856.10   6.90E-18  6.90E-18
1857.10   6.91E-18  6.91E-18
1858.10   6.91E-18  6.91E-18
1859.10   6.92E-18  6.92E-18
1860.10   6.92E-18  6.92E-18
1861.10   6.92E-18  6.92E-18
1862.10   6.93E-18  6.93E-18
1863.10   6.93E-18  6.93E-18
1864.10   6.93E-18  6.93E-18
1865.10   6.94E-18  6.94E-18
1866.10   6.94E-18  6.94E-18
1867.10   6.95E-18  6.95E-18
1868.10   6.95E-18  6.95E-18
1869.10   6.95E-18  6.95E-18
1870.10   6.96E-18  6.96E-18
1871.10   6.96E-18  6.96E-18
1872.10   6.96E-18  6.96E-18
1873.10   6.97E-18  6.97E-18
1874.10   6.97E-18  6.97E-18
1875.10   6.98E-18  6.98E-18
1876.10   6.98E-18  6.98E-18
1877.10   6.98E-18  6.98E-18
1878.10   6.99E-18  6.99E-18
1879.10   6.99E-18  6.99E-18
