0 Branching ratio for CHO      Total        1 branches
Lambda        Total        H/CO
1793.09      0.00E+00      0.00E+00
1794.09      0.00E+00      0.00E+00
1795.09      0.00E+00      0.00E+00
1796.09      0.00E+00      0.00E+00
1797.09      0.00E+00      0.00E+00
1798.09      0.00E+00      0.00E+00
1799.09      0.00E+00      0.00E+00
1800.09      0.00E+00      0.00E+00
1801.09      0.00E+00      0.00E+00
1802.09      0.00E+00      0.00E+00
1803.09      0.00E+00      0.00E+00
1804.09      0.00E+00      0.00E+00
1805.09      0.00E+00      0.00E+00
1806.09      0.00E+00      0.00E+00
1807.09      0.00E+00      0.00E+00
1808.09      0.00E+00      0.00E+00
1809.09      0.00E+00      0.00E+00
1810.09      0.00E+00      0.00E+00
1811.09      0.00E+00      0.00E+00
1812.09      0.00E+00      0.00E+00
1813.09      0.00E+00      0.00E+00
1814.09      0.00E+00      0.00E+00
1815.09      0.00E+00      0.00E+00
1816.09      0.00E+00      0.00E+00
1817.09      0.00E+00      0.00E+00
1818.09      0.00E+00      0.00E+00
1819.09      0.00E+00      0.00E+00
1820.09      0.00E+00      0.00E+00
1821.09      0.00E+00      0.00E+00
1822.09      0.00E+00      0.00E+00
1823.09      0.00E+00      0.00E+00
1824.09      0.00E+00      0.00E+00
1825.09      0.00E+00      0.00E+00
1826.09      0.00E+00      0.00E+00
1827.09      0.00E+00      0.00E+00
1828.09      0.00E+00      0.00E+00
1829.09      0.00E+00      0.00E+00
1830.09      0.00E+00      0.00E+00
1831.09      0.00E+00      0.00E+00
1832.09      0.00E+00      0.00E+00
1833.09      0.00E+00      0.00E+00
1834.09      0.00E+00      0.00E+00
1835.09      0.00E+00      0.00E+00
1836.09      0.00E+00      0.00E+00
1837.09      0.00E+00      0.00E+00
1838.09      0.00E+00      0.00E+00
1839.09      0.00E+00      0.00E+00
1840.09      0.00E+00      0.00E+00
1841.09      0.00E+00      0.00E+00
1842.09      0.00E+00      0.00E+00
1843.09      0.00E+00      0.00E+00
1844.09      0.00E+00      0.00E+00
1845.09      0.00E+00      0.00E+00
1846.1      0.00E+00      0.00E+00
1847.1      0.00E+00      0.00E+00
1848.1      0.00E+00      0.00E+00
1849.1      0.00E+00      0.00E+00
1850.1      0.00E+00      0.00E+00
1851.1      0.00E+00      0.00E+00
1852.1      0.00E+00      0.00E+00
1853.1      0.00E+00      0.00E+00
1854.1      0.00E+00      0.00E+00
1855.1      0.00E+00      0.00E+00
1856.1      0.00E+00      0.00E+00
1857.1      0.00E+00      0.00E+00
1858.1      0.00E+00      0.00E+00
1859.1      0.00E+00      0.00E+00
1860.1      0.00E+00      0.00E+00
1861.1      0.00E+00      0.00E+00
1862.1      0.00E+00      0.00E+00
1863.1      0.00E+00      0.00E+00
1864.1      0.00E+00      0.00E+00
1865.1      0.00E+00      0.00E+00
1866.1      0.00E+00      0.00E+00
1867.1      0.00E+00      0.00E+00
1868.1      0.00E+00      0.00E+00
1869.1      0.00E+00      0.00E+00
1870.1      0.00E+00      0.00E+00
1871.1      0.00E+00      0.00E+00
1872.1      0.00E+00      0.00E+00
1873.1      0.00E+00      0.00E+00
1874.1      0.00E+00      0.00E+00
1875.1      0.00E+00      0.00E+00
1876.1      0.00E+00      0.00E+00
1877.1      0.00E+00      0.00E+00
1878.1      0.00E+00      0.00E+00
1879.1      0.00E+00      0.00E+00
1880.1      0.00E+00      0.00E+00
1881.1      0.00E+00      0.00E+00
1882.1      0.00E+00      0.00E+00
1883.1      0.00E+00      0.00E+00
1884.1      0.00E+00      0.00E+00
1885.1      0.00E+00      0.00E+00
1886.1      0.00E+00      0.00E+00
1887.1      0.00E+00      0.00E+00
1888.1      0.00E+00      0.00E+00
1889.1      0.00E+00      0.00E+00
1890.1      0.00E+00      0.00E+00
1891.1      0.00E+00      0.00E+00
1892.1      0.00E+00      0.00E+00
1893.1      0.00E+00      0.00E+00
1894.1      0.00E+00      0.00E+00
1895.1      0.00E+00      0.00E+00
1896.1      0.00E+00      0.00E+00
1897.1      0.00E+00      0.00E+00
1898.1      0.00E+00      0.00E+00
1899.1      0.00E+00      0.00E+00
1900.1      0.00E+00      0.00E+00
1901.1      0.00E+00      0.00E+00
1902.1      0.00E+00      0.00E+00
1903.1      0.00E+00      0.00E+00
1904.1      0.00E+00      0.00E+00
1905.1      0.00E+00      0.00E+00
1906.1      0.00E+00      0.00E+00
1907.1      0.00E+00      0.00E+00
1908.1      0.00E+00      0.00E+00
1909.1      0.00E+00      0.00E+00
1910.1      0.00E+00      0.00E+00
1911.1      0.00E+00      0.00E+00
1912.1      0.00E+00      0.00E+00
1913.1      0.00E+00      0.00E+00
1914.11      0.00E+00      0.00E+00
1915.11      0.00E+00      0.00E+00
1916.11      0.00E+00      0.00E+00
1917.11      0.00E+00      0.00E+00
1918.11      0.00E+00      0.00E+00
1919.11      0.00E+00      0.00E+00
1920.11      0.00E+00      0.00E+00
1921.11      0.00E+00      0.00E+00
1922.11      0.00E+00      0.00E+00
1923.11      0.00E+00      0.00E+00
1924.11      0.00E+00      0.00E+00
1925.11      0.00E+00      0.00E+00
1926.11      0.00E+00      0.00E+00
1927.11      0.00E+00      0.00E+00
1928.11      0.00E+00      0.00E+00
1929.11      0.00E+00      0.00E+00
1930.11      0.00E+00      0.00E+00
